Strain,Rec,date,transfer,plateID,wellID,wellCol,wellRow,Treatment,Replicate,Environment,OD
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,B2,2,B,Mixed,2,X,0.875
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,B3,3,B,Mixed,2,X,0.829
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,B4,4,B,Mixed,2,S,0.839
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,B5,5,B,Mixed,2,R,0.84
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,B6,6,B,Mixed,2,B,0.068
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,C1,1,C,Mixed,3,X,0.962
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,C2,2,C,Mixed,3,X,0.896
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,C3,3,C,Mixed,3,X,0.846
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,C4,4,C,Mixed,3,S,0.873
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,C5,5,C,Mixed,3,R,0.866
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,C6,6,C,Mixed,3,B,0.081
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,D1,1,D,Mixed,4,X,1.024
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,D2,2,D,Mixed,4,X,0.985
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,D3,3,D,Mixed,4,X,0.947
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,D4,4,D,Mixed,4,S,0.897
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,D5,5,D,Mixed,4,R,0.946
AB3,Rec+,290720,T01,MIX AB3 SHIFT 1,D6,6,D,Mixed,4,B,0.068
AB3,Rec+,290720,T01,CMB AB3 SHIFT 1,A1,1,A,Combination,1,X,0.923
AB3,Rec+,290720,T01,CMB AB3 SHIFT 1,A2,2,A,Combination,1,X,0.814
AB3,Rec+,290720,T01,CMB AB3 SHIFT 1,A3,3,A,Combination,1,X,0.784
AB3,Rec+,290720,T01,CMB AB3 SHIFT 1,A4,4,A,Combination,1,B,0.075
AB3,Rec+,290720,T01,CMB AB3 SHIFT 1,A5,5,A,Combination,1,B,0.071
AB3,Rec+,290720,T01,CMB AB3 SHIFT 1,A6,6,A,Combination,1,B,0.07
AB3,Rec+,290720,T01,CMB AB3 SHIFT 1,B1,1,B,Combination,2,X,0.891
AB3,Rec+,290720,T01,CMB AB3 SHIFT 1,B2,2,B,Combination,2,X,0.867
AB3,Rec+,290720,T01,CMB AB3 SHIFT 1,B3,3,B,Combination,2,X,0.836
AB3,Rec+,290720,T01,CMB AB3 SHIFT 1,B4,4,B,Combination,2,B,0.073
AB3,Rec+,290720,T01,CMB AB3 SHIFT 1,B5,5,B,Combination,2,B,0.069
AB3,Rec+,290720,T01,CMB AB3 SHIFT 1,B6,6,B,Combination,2,B,0.069
AB3,Rec+,290720,T01,CMB AB3 SHIFT 1,C1,1,C,Combination,3,X,0.922
AB3,Rec+,290720,T01,CMB AB3 SHIFT 1,C2,2,C,Combination,3,X,0.882
AB3,Rec+,290720,T01,CMB AB3 SHIFT 1,C3,3,C,Combination,3,X,0.854
AB3,Rec+,290720,T01,CMB AB3 SHIFT 1,C4,4,C,Combination,3,B,0.083
AB3,Rec+,290720,T01,CMB AB3 SHIFT 1,C5,5,C,Combination,3,B,0.082
AB3,Rec+,290720,T01,CMB AB3 SHIFT 1,C6,6,C,Combination,3,B,0.089
AB3,Rec+,290720,T01,CMB AB3 SHIFT 1,D1,1,D,Combination,4,X,1.02
AB3,Rec+,290720,T01,CMB AB3 SHIFT 1,D2,2,D,Combination,4,X,0.982
AB3,Rec+,290720,T01,CMB AB3 SHIFT 1,D3,3,D,Combination,4,X,0.932
AB3,Rec+,290720,T01,CMB AB3 SHIFT 1,D4,4,D,Combination,4,B,0.071
AB3,Rec+,290720,T01,CMB AB3 SHIFT 1,D5,5,D,Combination,4,B,0.07
AB3,Rec+,290720,T01,CMB AB3 SHIFT 1,D6,6,D,Combination,4,B,0.072
