Strain,Rec,date,transfer,plateID,wellID,wellCol,wellRow,Treatment,Replicate,Environment,OD
AB3,Rec+,010820,T04,RIF AB3 SHIFT 1,C6,6,C,RIF only,3,R,0.729
AB3,Rec+,010820,T04,RIF AB3 SHIFT 1,D1,1,D,RIF only,4,X,1.045
AB3,Rec+,010820,T04,RIF AB3 SHIFT 1,D2,2,D,RIF only,4,X,0.853
AB3,Rec+,010820,T04,RIF AB3 SHIFT 1,D3,3,D,RIF only,4,X,0.785
AB3,Rec+,010820,T04,RIF AB3 SHIFT 1,D4,4,D,RIF only,4,R,0.754
AB3,Rec+,010820,T04,RIF AB3 SHIFT 1,D5,5,D,RIF only,4,R,0.735
AB3,Rec+,010820,T04,RIF AB3 SHIFT 1,D6,6,D,RIF only,4,R,0.744
AB3,Rec+,010820,T04,MIX AB3 SHIFT 1,A1,1,A,Mixed,1,X,1.044
AB3,Rec+,010820,T04,MIX AB3 SHIFT 1,A2,2,A,Mixed,1,X,0.905
AB3,Rec+,010820,T04,MIX AB3 SHIFT 1,A3,3,A,Mixed,1,X,0.84
AB3,Rec+,010820,T04,MIX AB3 SHIFT 1,A4,4,A,Mixed,1,S,0.78
AB3,Rec+,010820,T04,MIX AB3 SHIFT 1,A5,5,A,Mixed,1,R,0.824
AB3,Rec+,010820,T04,MIX AB3 SHIFT 1,A6,6,A,Mixed,1,B,0.85
AB3,Rec+,010820,T04,MIX AB3 SHIFT 1,B1,1,B,Mixed,2,X,1.011
AB3,Rec+,010820,T04,MIX AB3 SHIFT 1,B2,2,B,Mixed,2,X,0.848
AB3,Rec+,010820,T04,MIX AB3 SHIFT 1,B3,3,B,Mixed,2,X,0.835
AB3,Rec+,010820,T04,MIX AB3 SHIFT 1,B4,4,B,Mixed,2,S,0.783
AB3,Rec+,010820,T04,MIX AB3 SHIFT 1,B5,5,B,Mixed,2,R,0.794
AB3,Rec+,010820,T04,MIX AB3 SHIFT 1,B6,6,B,Mixed,2,B,0.841
AB3,Rec+,010820,T04,MIX AB3 SHIFT 1,C1,1,C,Mixed,3,X,1.345
AB3,Rec+,010820,T04,MIX AB3 SHIFT 1,C2,2,C,Mixed,3,X,0.955
AB3,Rec+,010820,T04,MIX AB3 SHIFT 1,C3,3,C,Mixed,3,X,0.917
AB3,Rec+,010820,T04,MIX AB3 SHIFT 1,C4,4,C,Mixed,3,S,0.812
AB3,Rec+,010820,T04,MIX AB3 SHIFT 1,C5,5,C,Mixed,3,R,0.711
AB3,Rec+,010820,T04,MIX AB3 SHIFT 1,C6,6,C,Mixed,3,B,1.126
AB3,Rec+,010820,T04,MIX AB3 SHIFT 1,D1,1,D,Mixed,4,X,1.064
AB3,Rec+,010820,T04,MIX AB3 SHIFT 1,D2,2,D,Mixed,4,X,0.925
AB3,Rec+,010820,T04,MIX AB3 SHIFT 1,D3,3,D,Mixed,4,X,0.795
AB3,Rec+,010820,T04,MIX AB3 SHIFT 1,D4,4,D,Mixed,4,S,0.786
AB3,Rec+,010820,T04,MIX AB3 SHIFT 1,D5,5,D,Mixed,4,R,0.726
AB3,Rec+,010820,T04,MIX AB3 SHIFT 1,D6,6,D,Mixed,4,B,0.749
AB3,Rec+,010820,T04,CMB AB3 SHIFT 1,A1,1,A,Combination,1,X,0.87
AB3,Rec+,010820,T04,CMB AB3 SHIFT 1,A2,2,A,Combination,1,X,0.789
AB3,Rec+,010820,T04,CMB AB3 SHIFT 1,A3,3,A,Combination,1,X,0.809
AB3,Rec+,010820,T04,CMB AB3 SHIFT 1,A4,4,A,Combination,1,B,0.076
AB3,Rec+,010820,T04,CMB AB3 SHIFT 1,A5,5,A,Combination,1,B,0.074
AB3,Rec+,010820,T04,CMB AB3 SHIFT 1,A6,6,A,Combination,1,B,0.07
AB3,Rec+,010820,T04,CMB AB3 SHIFT 1,B1,1,B,Combination,2,X,0.865
AB3,Rec+,010820,T04,CMB AB3 SHIFT 1,B2,2,B,Combination,2,X,0.865
AB3,Rec+,010820,T04,CMB AB3 SHIFT 1,B3,3,B,Combination,2,X,0.855
AB3,Rec+,010820,T04,CMB AB3 SHIFT 1,B4,4,B,Combination,2,B,0.073
AB3,Rec+,010820,T04,CMB AB3 SHIFT 1,B5,5,B,Combination,2,B,0.07
AB3,Rec+,010820,T04,CMB AB3 SHIFT 1,B6,6,B,Combination,2,B,0.07
AB3,Rec+,010820,T04,CMB AB3 SHIFT 1,C1,1,C,Combination,3,X,0.898
AB3,Rec+,010820,T04,CMB AB3 SHIFT 1,C2,2,C,Combination,3,X,0.878
AB3,Rec+,010820,T04,CMB AB3 SHIFT 1,C3,3,C,Combination,3,X,0.886
AB3,Rec+,010820,T04,CMB AB3 SHIFT 1,C4,4,C,Combination,3,B,0.073
AB3,Rec+,010820,T04,CMB AB3 SHIFT 1,C5,5,C,Combination,3,B,0.07
AB3,Rec+,010820,T04,CMB AB3 SHIFT 1,C6,6,C,Combination,3,B,0.07
AB3,Rec+,010820,T04,CMB AB3 SHIFT 1,D1,1,D,Combination,4,X,1.107
AB3,Rec+,010820,T04,CMB AB3 SHIFT 1,D2,2,D,Combination,4,X,1.192
AB3,Rec+,010820,T04,CMB AB3 SHIFT 1,D3,3,D,Combination,4,X,1.123
AB3,Rec+,010820,T04,CMB AB3 SHIFT 1,D4,4,D,Combination,4,B,0.072
AB3,Rec+,010820,T04,CMB AB3 SHIFT 1,D5,5,D,Combination,4,B,0.073
AB3,Rec+,010820,T04,CMB AB3 SHIFT 1,D6,6,D,Combination,4,B,0.073
AB3,Rec+,010820,T04,NOD SHIFT 1,A1,1,A,No drug,1,X,1.215
AB3,Rec+,010820,T04,NOD SHIFT 1,A2,2,A,No drug,1,X,1.124
AB3,Rec+,010820,T04,NOD SHIFT 1,A3,3,A,No drug,1,X,0.952
AB3,Rec+,010820,T04,NOD SHIFT 1,A4,4,A,No drug,1,X,0.842
AB3,Rec+,010820,T04,NOD SHIFT 1,A5,5,A,No drug,1,X,0.792
AB3,Rec+,010820,T04,NOD SHIFT 1,A6,6,A,No drug,1,X,0.819
AB3,Rec+,010820,T04,NOD SHIFT 1,B1,1,B,No drug,2,X,1.25
AB3,Rec+,010820,T04,NOD SHIFT 1,B2,2,B,No drug,2,X,1.138
AB3,Rec+,010820,T04,NOD SHIFT 1,B3,3,B,No drug,2,X,0.971
AB3,Rec+,010820,T04,NOD SHIFT 1,B4,4,B,No drug,2,X,0.879
AB3,Rec+,010820,T04,NOD SHIFT 1,B5,5,B,No drug,2,X,0.855
AB3,Rec+,010820,T04,NOD SHIFT 1,B6,6,B,No drug,2,X,0.831
AB3,Rec+,010820,T04,NOD SHIFT 1,C1,1,C,No drug,3,X,1.117
AB3,Rec+,010820,T04,NOD SHIFT 1,C2,2,C,No drug,3,X,1.592
AB3,Rec+,010820,T04,NOD SHIFT 1,C3,3,C,No drug,3,X,1.502
AB3,Rec+,010820,T04,NOD SHIFT 1,C4,4,C,No drug,3,X,1.077
AB3,Rec+,010820,T04,NOD SHIFT 1,C5,5,C,No drug,3,X,1.306
AB3,Rec+,010820,T04,NOD SHIFT 1,C6,6,C,No drug,3,X,1.233
AB3,Rec+,010820,T04,NOD SHIFT 1,D1,1,D,No drug,4,X,1.41
AB3,Rec+,010820,T04,NOD SHIFT 1,D2,2,D,No drug,4,X,1.29
AB3,Rec+,010820,T04,NOD SHIFT 1,D3,3,D,No drug,4,X,1.407
AB3,Rec+,010820,T04,NOD SHIFT 1,D4,4,D,No drug,4,X,1.317
AB3,Rec+,010820,T04,NOD SHIFT 1,D5,5,D,No drug,4,X,1.426
AB3,Rec+,010820,T04,NOD SHIFT 1,D6,6,D,No drug,4,X,1.335
AB3,Rec+,010820,T04,STR AB3 SHIFT 2,A1,1,A,STP only,5,X,0.957
AB3,Rec+,010820,T04,STR AB3 SHIFT 2,A2,2,A,STP only,5,X,1.066
AB3,Rec+,010820,T04,STR AB3 SHIFT 2,A3,3,A,STP only,5,X,0.941
AB3,Rec+,010820,T04,STR AB3 SHIFT 2,A4,4,A,STP only,5,S,0.878
AB3,Rec+,010820,T04,STR AB3 SHIFT 2,A5,5,A,STP only,5,S,0.798
AB3,Rec+,010820,T04,STR AB3 SHIFT 2,A6,6,A,STP only,5,S,0.899
AB3,Rec+,010820,T04,STR AB3 SHIFT 2,B1,1,B,STP only,6,X,0.922
AB3,Rec+,010820,T04,STR AB3 SHIFT 2,B2,2,B,STP only,6,X,1.089
AB3,Rec+,010820,T04,STR AB3 SHIFT 2,B3,3,B,STP only,6,X,0.993
AB3,Rec+,010820,T04,STR AB3 SHIFT 2,B4,4,B,STP only,6,S,0.927
AB3,Rec+,010820,T04,STR AB3 SHIFT 2,B5,5,B,STP only,6,S,0.904
AB3,Rec+,010820,T04,STR AB3 SHIFT 2,B6,6,B,STP only,6,S,0.941
AB3,Rec+,010820,T04,STR AB3 SHIFT 2,C1,1,C,STP only,7,X,0.995
AB3,Rec+,010820,T04,STR AB3 SHIFT 2,C2,2,C,STP only,7,X,1.149
AB3,Rec+,010820,T04,STR AB3 SHIFT 2,C3,3,C,STP only,7,X,1.061
AB3,Rec+,010820,T04,STR AB3 SHIFT 2,C4,4,C,STP only,7,S,0.913
AB3,Rec+,010820,T04,STR AB3 SHIFT 2,C5,5,C,STP only,7,S,0.902
AB3,Rec+,010820,T04,STR AB3 SHIFT 2,C6,6,C,STP only,7,S,0.931
AB3,Rec+,010820,T04,STR AB3 SHIFT 2,D1,1,D,STP only,8,X,1.292
AB3,Rec+,010820,T04,STR AB3 SHIFT 2,D2,2,D,STP only,8,X,1.687
AB3,Rec+,010820,T04,STR AB3 SHIFT 2,D3,3,D,STP only,8,X,1.115
AB3,Rec+,010820,T04,STR AB3 SHIFT 2,D4,4,D,STP only,8,S,1.213
AB3,Rec+,010820,T04,STR AB3 SHIFT 2,D5,5,D,STP only,8,S,0.965
AB3,Rec+,010820,T04,STR AB3 SHIFT 2,D6,6,D,STP only,8,S,1.07
AB3,Rec+,010820,T04,RIF AB3 SHIFT 2,A1,1,A,RIF only,5,X,1.076
AB3,Rec+,010820,T04,RIF AB3 SHIFT 2,A2,2,A,RIF only,5,X,1.439
AB3,Rec+,010820,T04,RIF AB3 SHIFT 2,A3,3,A,RIF only,5,X,1.301
AB3,Rec+,010820,T04,RIF AB3 SHIFT 2,A4,4,A,RIF only,5,R,1.236
AB3,Rec+,010820,T04,RIF AB3 SHIFT 2,A5,5,A,RIF only,5,R,1.004
AB3,Rec+,010820,T04,RIF AB3 SHIFT 2,A6,6,A,RIF only,5,R,1.148
AB3,Rec+,010820,T04,RIF AB3 SHIFT 2,B1,1,B,RIF only,6,X,1.1
AB3,Rec+,010820,T04,RIF AB3 SHIFT 2,B2,2,B,RIF only,6,X,1.437
AB3,Rec+,010820,T04,RIF AB3 SHIFT 2,B3,3,B,RIF only,6,X,1.169
AB3,Rec+,010820,T04,RIF AB3 SHIFT 2,B4,4,B,RIF only,6,R,1.002
AB3,Rec+,010820,T04,RIF AB3 SHIFT 2,B5,5,B,RIF only,6,R,0.994
AB3,Rec+,010820,T04,RIF AB3 SHIFT 2,B6,6,B,RIF only,6,R,1.057
AB3,Rec+,010820,T04,RIF AB3 SHIFT 2,C1,1,C,RIF only,7,X,1.14
AB3,Rec+,010820,T04,RIF AB3 SHIFT 2,C2,2,C,RIF only,7,X,1.03
AB3,Rec+,010820,T04,RIF AB3 SHIFT 2,C3,3,C,RIF only,7,X,0.94
AB3,Rec+,010820,T04,RIF AB3 SHIFT 2,C4,4,C,RIF only,7,R,0.851
AB3,Rec+,010820,T04,RIF AB3 SHIFT 2,C5,5,C,RIF only,7,R,0.871
AB3,Rec+,010820,T04,RIF AB3 SHIFT 2,C6,6,C,RIF only,7,R,0.899
AB3,Rec+,010820,T04,RIF AB3 SHIFT 2,D1,1,D,RIF only,8,X,0.996
AB3,Rec+,010820,T04,RIF AB3 SHIFT 2,D2,2,D,RIF only,8,X,1.063
AB3,Rec+,010820,T04,RIF AB3 SHIFT 2,D3,3,D,RIF only,8,X,1.148
AB3,Rec+,010820,T04,RIF AB3 SHIFT 2,D4,4,D,RIF only,8,R,0.843
AB3,Rec+,010820,T04,RIF AB3 SHIFT 2,D5,5,D,RIF only,8,R,0.806
AB3,Rec+,010820,T04,RIF AB3 SHIFT 2,D6,6,D,RIF only,8,R,0.812
AB3,Rec+,010820,T04,MIX AB3 SHIFT 2,A1,1,A,Mixed,5,X,1.402
AB3,Rec+,010820,T04,MIX AB3 SHIFT 2,A2,2,A,Mixed,5,X,1.238
AB3,Rec+,010820,T04,MIX AB3 SHIFT 2,A3,3,A,Mixed,5,X,1.225
AB3,Rec+,010820,T04,MIX AB3 SHIFT 2,A4,4,A,Mixed,5,S,0.928
AB3,Rec+,010820,T04,MIX AB3 SHIFT 2,A5,5,A,Mixed,5,R,1.084
AB3,Rec+,010820,T04,MIX AB3 SHIFT 2,A6,6,A,Mixed,5,B,0.997
AB3,Rec+,010820,T04,MIX AB3 SHIFT 2,B1,1,B,Mixed,6,X,1.37
AB3,Rec+,010820,T04,MIX AB3 SHIFT 2,B2,2,B,Mixed,6,X,1.19
AB3,Rec+,010820,T04,MIX AB3 SHIFT 2,B3,3,B,Mixed,6,X,1.097
AB3,Rec+,010820,T04,MIX AB3 SHIFT 2,B4,4,B,Mixed,6,S,0.995
AB3,Rec+,010820,T04,MIX AB3 SHIFT 2,B5,5,B,Mixed,6,R,0.955
AB3,Rec+,010820,T04,MIX AB3 SHIFT 2,B6,6,B,Mixed,6,B,0.895
AB3,Rec+,010820,T04,MIX AB3 SHIFT 2,C1,1,C,Mixed,7,X,1.214
AB3,Rec+,010820,T04,MIX AB3 SHIFT 2,C2,2,C,Mixed,7,X,1.096
AB3,Rec+,010820,T04,MIX AB3 SHIFT 2,C3,3,C,Mixed,7,X,1.046
AB3,Rec+,010820,T04,MIX AB3 SHIFT 2,C4,4,C,Mixed,7,S,0.937
AB3,Rec+,010820,T04,MIX AB3 SHIFT 2,C5,5,C,Mixed,7,R,0.897
AB3,Rec+,010820,T04,MIX AB3 SHIFT 2,C6,6,C,Mixed,7,B,0.857
AB3,Rec+,010820,T04,MIX AB3 SHIFT 2,D1,1,D,Mixed,8,X,1.375
AB3,Rec+,010820,T04,MIX AB3 SHIFT 2,D2,2,D,Mixed,8,X,1.411
AB3,Rec+,010820,T04,MIX AB3 SHIFT 2,D3,3,D,Mixed,8,X,1.334
AB3,Rec+,010820,T04,MIX AB3 SHIFT 2,D4,4,D,Mixed,8,S,0.949
AB3,Rec+,010820,T04,MIX AB3 SHIFT 2,D5,5,D,Mixed,8,R,0.878
AB3,Rec+,010820,T04,MIX AB3 SHIFT 2,D6,6,D,Mixed,8,B,0.818
AB3,Rec+,010820,T04,CMB AB3 SHIFT 2,A1,1,A,Combination,5,X,1.111
AB3,Rec+,010820,T04,CMB AB3 SHIFT 2,A2,2,A,Combination,5,X,1.142
AB3,Rec+,010820,T04,CMB AB3 SHIFT 2,A3,3,A,Combination,5,X,1.195
AB3,Rec+,010820,T04,CMB AB3 SHIFT 2,A4,4,A,Combination,5,B,0.074
AB3,Rec+,010820,T04,CMB AB3 SHIFT 2,A5,5,A,Combination,5,B,0.072
AB3,Rec+,010820,T04,CMB AB3 SHIFT 2,A6,6,A,Combination,5,B,0.071
AB3,Rec+,010820,T04,CMB AB3 SHIFT 2,B1,1,B,Combination,6,X,1.056
AB3,Rec+,010820,T04,CMB AB3 SHIFT 2,B2,2,B,Combination,6,X,0.958
AB3,Rec+,010820,T04,CMB AB3 SHIFT 2,B3,3,B,Combination,6,X,0.982
AB3,Rec+,010820,T04,CMB AB3 SHIFT 2,B4,4,B,Combination,6,B,0.072
AB3,Rec+,010820,T04,CMB AB3 SHIFT 2,B5,5,B,Combination,6,B,0.071
AB3,Rec+,010820,T04,CMB AB3 SHIFT 2,B6,6,B,Combination,6,B,0.073
AB3,Rec+,010820,T04,CMB AB3 SHIFT 2,C1,1,C,Combination,7,X,1.116
AB3,Rec+,010820,T04,CMB AB3 SHIFT 2,C2,2,C,Combination,7,X,0.954
AB3,Rec+,010820,T04,CMB AB3 SHIFT 2,C3,3,C,Combination,7,X,0.908
AB3,Rec+,010820,T04,CMB AB3 SHIFT 2,C4,4,C,Combination,7,B,0.072
AB3,Rec+,010820,T04,CMB AB3 SHIFT 2,C5,5,C,Combination,7,B,0.07
AB3,Rec+,010820,T04,CMB AB3 SHIFT 2,C6,6,C,Combination,7,B,0.07
AB3,Rec+,010820,T04,CMB AB3 SHIFT 2,D1,1,D,Combination,8,X,1.138
AB3,Rec+,010820,T04,CMB AB3 SHIFT 2,D2,2,D,Combination,8,X,1.058
AB3,Rec+,010820,T04,CMB AB3 SHIFT 2,D3,3,D,Combination,8,X,0.925
AB3,Rec+,010820,T04,CMB AB3 SHIFT 2,D4,4,D,Combination,8,B,0.074
AB3,Rec+,010820,T04,CMB AB3 SHIFT 2,D5,5,D,Combination,8,B,0.073
AB3,Rec+,010820,T04,CMB AB3 SHIFT 2,D6,6,D,Combination,8,B,0.079
AB3,Rec+,010820,T04,NOD 1 SHIFT 2,A1,1,A,No drug,5,X,1.117
AB3,Rec+,010820,T04,NOD 1 SHIFT 2,A2,2,A,No drug,5,X,1.592
AB3,Rec+,010820,T04,NOD 1 SHIFT 2,A3,3,A,No drug,5,X,1.502
AB3,Rec+,010820,T04,NOD 1 SHIFT 2,A4,4,A,No drug,5,X,1.077
AB3,Rec+,010820,T04,NOD 1 SHIFT 2,A5,5,A,No drug,5,X,1.306
AB3,Rec+,010820,T04,NOD 1 SHIFT 2,A6,6,A,No drug,5,X,1.233
AB3,Rec+,010820,T04,NOD 1 SHIFT 2,B1,1,B,No drug,6,X,1.41
AB3,Rec+,010820,T04,NOD 1 SHIFT 2,B2,2,B,No drug,6,X,1.29
AB3,Rec+,010820,T04,NOD 1 SHIFT 2,B3,3,B,No drug,6,X,1.407
AB3,Rec+,010820,T04,NOD 1 SHIFT 2,B4,4,B,No drug,6,X,1.317
AB3,Rec+,010820,T04,NOD 1 SHIFT 2,B5,5,B,No drug,6,X,1.426
AB3,Rec+,010820,T04,NOD 1 SHIFT 2,B6,6,B,No drug,6,X,1.335
AB3,Rec+,010820,T04,NOD 1 SHIFT 2,C1,1,C,No drug,7,X,0
AB3,Rec+,010820,T04,NOD 1 SHIFT 2,C2,2,C,No drug,7,X,0
AB3,Rec+,010820,T04,NOD 1 SHIFT 2,C3,3,C,No drug,7,X,0
AB3,Rec+,010820,T04,NOD 1 SHIFT 2,C4,4,C,No drug,7,X,0
AB3,Rec+,010820,T04,NOD 1 SHIFT 2,C5,5,C,No drug,7,X,0
AB3,Rec+,010820,T04,NOD 1 SHIFT 2,C6,6,C,No drug,7,X,0
AB3,Rec+,010820,T04,NOD 1 SHIFT 2,D1,1,D,No drug,8,X,0
AB3,Rec+,010820,T04,NOD 1 SHIFT 2,D2,2,D,No drug,8,X,0
AB3,Rec+,010820,T04,NOD 1 SHIFT 2,D3,3,D,No drug,8,X,0
AB3,Rec+,010820,T04,NOD 1 SHIFT 2,D4,4,D,No drug,8,X,0
AB3,Rec+,010820,T04,NOD 1 SHIFT 2,D5,5,D,No drug,8,X,0
AB3,Rec+,010820,T04,NOD 1 SHIFT 2,D6,6,D,No drug,8,X,0
AB3,Rec+,020820,T05,STR AB3 SHIFT 1,A1,1,A,STP only,1,X,1.031
AB3,Rec+,020820,T05,STR AB3 SHIFT 1,A2,2,A,STP only,1,X,0.962
AB3,Rec+,020820,T05,STR AB3 SHIFT 1,A3,3,A,STP only,1,X,0.943
AB3,Rec+,020820,T05,STR AB3 SHIFT 1,A4,4,A,STP only,1,S,0.856
AB3,Rec+,020820,T05,STR AB3 SHIFT 1,A5,5,A,STP only,1,S,0.862
AB3,Rec+,020820,T05,STR AB3 SHIFT 1,A6,6,A,STP only,1,S,0.892
AB3,Rec+,020820,T05,STR AB3 SHIFT 1,B1,1,B,STP only,2,X,0.888
AB3,Rec+,020820,T05,STR AB3 SHIFT 1,B2,2,B,STP only,2,X,0.779
AB3,Rec+,020820,T05,STR AB3 SHIFT 1,B3,3,B,STP only,2,X,0.762
AB3,Rec+,020820,T05,STR AB3 SHIFT 1,B4,4,B,STP only,2,S,0.652
AB3,Rec+,020820,T05,STR AB3 SHIFT 1,B5,5,B,STP only,2,S,0.608
AB3,Rec+,020820,T05,STR AB3 SHIFT 1,B6,6,B,STP only,2,S,0.62
AB3,Rec+,020820,T05,STR AB3 SHIFT 1,C1,1,C,STP only,3,X,0.82
AB3,Rec+,020820,T05,STR AB3 SHIFT 1,C2,2,C,STP only,3,X,0.788
AB3,Rec+,020820,T05,STR AB3 SHIFT 1,C3,3,C,STP only,3,X,0.785
AB3,Rec+,020820,T05,STR AB3 SHIFT 1,C4,4,C,STP only,3,S,0.689
AB3,Rec+,020820,T05,STR AB3 SHIFT 1,C5,5,C,STP only,3,S,0.679
AB3,Rec+,020820,T05,STR AB3 SHIFT 1,C6,6,C,STP only,3,S,0.665
AB3,Rec+,020820,T05,STR AB3 SHIFT 1,D1,1,D,STP only,4,X,0.814
AB3,Rec+,020820,T05,STR AB3 SHIFT 1,D2,2,D,STP only,4,X,0.759
AB3,Rec+,020820,T05,STR AB3 SHIFT 1,D3,3,D,STP only,4,X,0.756
AB3,Rec+,020820,T05,STR AB3 SHIFT 1,D4,4,D,STP only,4,S,0.7
AB3,Rec+,020820,T05,STR AB3 SHIFT 1,D5,5,D,STP only,4,S,0.687
AB3,Rec+,020820,T05,STR AB3 SHIFT 1,D6,6,D,STP only,4,S,0.698
AB3,Rec+,020820,T05,RIF AB3 SHIFT 1,A1,1,A,RIF only,1,X,1.076
AB3,Rec+,020820,T05,RIF AB3 SHIFT 1,A2,2,A,RIF only,1,X,0.943
AB3,Rec+,020820,T05,RIF AB3 SHIFT 1,A3,3,A,RIF only,1,X,0.769
AB3,Rec+,020820,T05,RIF AB3 SHIFT 1,A4,4,A,RIF only,1,R,0.792
AB3,Rec+,020820,T05,RIF AB3 SHIFT 1,A5,5,A,RIF only,1,R,0.745
AB3,Rec+,020820,T05,RIF AB3 SHIFT 1,A6,6,A,RIF only,1,R,0.724
AB3,Rec+,020820,T05,RIF AB3 SHIFT 1,B1,1,B,RIF only,2,X,0.79
AB3,Rec+,020820,T05,RIF AB3 SHIFT 1,B2,2,B,RIF only,2,X,0.795
AB3,Rec+,020820,T05,RIF AB3 SHIFT 1,B3,3,B,RIF only,2,X,0.794
AB3,Rec+,020820,T05,RIF AB3 SHIFT 1,B4,4,B,RIF only,2,R,0.761
AB3,Rec+,020820,T05,RIF AB3 SHIFT 1,B5,5,B,RIF only,2,R,0.708
AB3,Rec+,020820,T05,RIF AB3 SHIFT 1,B6,6,B,RIF only,2,R,0.747
AB3,Rec+,020820,T05,RIF AB3 SHIFT 1,C1,1,C,RIF only,3,X,0.715
AB3,Rec+,020820,T05,RIF AB3 SHIFT 1,C2,2,C,RIF only,3,X,0.707
AB3,Rec+,020820,T05,RIF AB3 SHIFT 1,C3,3,C,RIF only,3,X,0.718
AB3,Rec+,020820,T05,RIF AB3 SHIFT 1,C4,4,C,RIF only,3,R,0.734
AB3,Rec+,020820,T05,RIF AB3 SHIFT 1,C5,5,C,RIF only,3,R,0.748
AB3,Rec+,020820,T05,RIF AB3 SHIFT 1,C6,6,C,RIF only,3,R,0.726
AB3,Rec+,020820,T05,RIF AB3 SHIFT 1,D1,1,D,RIF only,4,X,0.742
AB3,Rec+,020820,T05,RIF AB3 SHIFT 1,D2,2,D,RIF only,4,X,0.696
AB3,Rec+,020820,T05,RIF AB3 SHIFT 1,D3,3,D,RIF only,4,X,0.682
AB3,Rec+,020820,T05,RIF AB3 SHIFT 1,D4,4,D,RIF only,4,R,0.675
AB3,Rec+,020820,T05,RIF AB3 SHIFT 1,D5,5,D,RIF only,4,R,0.684
AB3,Rec+,020820,T05,RIF AB3 SHIFT 1,D6,6,D,RIF only,4,R,0.69
AB3,Rec+,020820,T05,MIX AB3 SHIFT 1,A1,1,A,Mixed,1,X,0.863
AB3,Rec+,020820,T05,MIX AB3 SHIFT 1,A2,2,A,Mixed,1,X,0.973
AB3,Rec+,020820,T05,MIX AB3 SHIFT 1,A3,3,A,Mixed,1,X,0.868
AB3,Rec+,020820,T05,MIX AB3 SHIFT 1,A4,4,A,Mixed,1,S,0.874
AB3,Rec+,020820,T05,MIX AB3 SHIFT 1,A5,5,A,Mixed,1,R,0.84
AB3,Rec+,020820,T05,MIX AB3 SHIFT 1,A6,6,A,Mixed,1,B,0.936
AB3,Rec+,020820,T05,MIX AB3 SHIFT 1,B1,1,B,Mixed,2,X,0.764
AB3,Rec+,020820,T05,MIX AB3 SHIFT 1,B2,2,B,Mixed,2,X,0.754
AB3,Rec+,020820,T05,MIX AB3 SHIFT 1,B3,3,B,Mixed,2,X,0.759
AB3,Rec+,020820,T05,MIX AB3 SHIFT 1,B4,4,B,Mixed,2,S,0.771
AB3,Rec+,020820,T05,MIX AB3 SHIFT 1,B5,5,B,Mixed,2,R,0.749
AB3,Rec+,020820,T05,MIX AB3 SHIFT 1,B6,6,B,Mixed,2,B,0.815
AB3,Rec+,020820,T05,MIX AB3 SHIFT 1,C1,1,C,Mixed,3,X,0.737
AB3,Rec+,020820,T05,MIX AB3 SHIFT 1,C2,2,C,Mixed,3,X,0.697
AB3,Rec+,020820,T05,MIX AB3 SHIFT 1,C3,3,C,Mixed,3,X,0.717
AB3,Rec+,020820,T05,MIX AB3 SHIFT 1,C4,4,C,Mixed,3,S,0.751
AB3,Rec+,020820,T05,MIX AB3 SHIFT 1,C5,5,C,Mixed,3,R,0.679
AB3,Rec+,020820,T05,MIX AB3 SHIFT 1,C6,6,C,Mixed,3,B,0.727
AB3,Rec+,020820,T05,MIX AB3 SHIFT 1,D1,1,D,Mixed,4,X,0.853
AB3,Rec+,020820,T05,MIX AB3 SHIFT 1,D2,2,D,Mixed,4,X,0.788
AB3,Rec+,020820,T05,MIX AB3 SHIFT 1,D3,3,D,Mixed,4,X,0.83
AB3,Rec+,020820,T05,MIX AB3 SHIFT 1,D4,4,D,Mixed,4,S,0.762
AB3,Rec+,020820,T05,MIX AB3 SHIFT 1,D5,5,D,Mixed,4,R,0.715
AB3,Rec+,020820,T05,MIX AB3 SHIFT 1,D6,6,D,Mixed,4,B,0.725
AB3,Rec+,020820,T05,CMB AB3 SHIFT 1,A1,1,A,Combination,1,X,0.907
AB3,Rec+,020820,T05,CMB AB3 SHIFT 1,A2,2,A,Combination,1,X,0.924
AB3,Rec+,020820,T05,CMB AB3 SHIFT 1,A3,3,A,Combination,1,X,0.945
AB3,Rec+,020820,T05,CMB AB3 SHIFT 1,A4,4,A,Combination,1,B,0.074
AB3,Rec+,020820,T05,CMB AB3 SHIFT 1,A5,5,A,Combination,1,B,0.069
AB3,Rec+,020820,T05,CMB AB3 SHIFT 1,A6,6,A,Combination,1,B,0.068
AB3,Rec+,020820,T05,CMB AB3 SHIFT 1,B1,1,B,Combination,2,X,0.753
AB3,Rec+,020820,T05,CMB AB3 SHIFT 1,B2,2,B,Combination,2,X,0.764
AB3,Rec+,020820,T05,CMB AB3 SHIFT 1,B3,3,B,Combination,2,X,0.808
AB3,Rec+,020820,T05,CMB AB3 SHIFT 1,B4,4,B,Combination,2,B,0.07
AB3,Rec+,020820,T05,CMB AB3 SHIFT 1,B5,5,B,Combination,2,B,0.071
AB3,Rec+,020820,T05,CMB AB3 SHIFT 1,B6,6,B,Combination,2,B,0.068
AB3,Rec+,020820,T05,CMB AB3 SHIFT 1,C1,1,C,Combination,3,X,0.713
AB3,Rec+,020820,T05,CMB AB3 SHIFT 1,C2,2,C,Combination,3,X,0.733
AB3,Rec+,020820,T05,CMB AB3 SHIFT 1,C3,3,C,Combination,3,X,0.745
